Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
DELTACORP.NS,-28.98,-2.42,19.09
DELTAMAGNT.NS,-14.44,-1.2,27.44
DEN.NS,-33.86,-2.82,20.29
DENORA.NS,-21.09,-1.76,23.71
DEVIT.NS,-17.96,-1.5,28.55
DEVYANI.NS,-12.82,-1.07,17.3
DGCONTENT.NS,141.23,11.77,29.98
DHAMPURSUG.NS,-52.34,-4.36,17.49
DHANBANK.NS,45.31,3.78,27.52
DHANI.NS,84.3,7.02,32.16
DHANUKA.NS,38.26,3.19,21.92
DHARMAJ.NS,10.2,0.85,25.22
DHRUV.NS,95.84,7.99,34.17
DHUNINV.NS,61.88,5.16,31.15
DIACABS.NS,256.78,21.4,37.06
DIAMINESQ.NS,-7.16,-0.6,20.47
DIAMONDYD.NS,3.36,0.28,22.99
DICIND.NS,35.45,2.95,20.55
DIFFNKG.NS,-5.81,-2.9,31.9
DIGIDRIVE.NS,-28.19,-2.56,28.8
DIGISPICE.NS,25.8,2.15,36.18
DIGJAMLMTD.NS,-5.8,-0.48,16.46
DIL.NS,-110.4,-9.2,33.02
DISHTV.NS,-52.78,-4.4,24.96
DIVGIITTS.NS,-43.77,-3.65,17.84
DIVISLAB.NS,38.61,3.22,13.14
DIXON.NS,97.05,8.09,21.25
DJML.NS,147.93,12.33,27.83
DLF.NS,8.11,0.68,15.98
DLINKINDIA.NS,55.84,4.65,26.52
DMART.NS,-17.99,-1.5,15.16
DMCC.NS,19.53,1.63,23.61
DNAMEDIA.NS,5.16,0.43,29.67
DODLA.NS,37.29,3.11,20.98
DOLATALGO.NS,89.53,7.46,34.99
DOLLAR.NS,6.2,0.52,15.67
DOLPHIN.NS,182.65,15.22,39.31
DOMS.NS,75.54,6.29,20.75
DONEAR.NS,53.11,4.43,25.35
DPABHUSHAN.NS,91.78,7.65,26.45
DPSCLTD.NS,-6.45,-0.54,27.79
DPWIRES.NS,-51.82,-4.32,19.36
DRCSYSTEMS.NS,64.54,5.38,31.75
DREAMFOLKS.NS,-36.28,-3.02,13.71
DREDGECORP.NS,40.96,3.41,32.39
DRREDDY.NS,10.7,0.89,10.43
DSSL.NS,75.6,6.3,30.76
DTIL.NS,21.26,1.77,22.36
DUCON.NS,-11.23,-0.94,31.06
DVL.NS,26.06,2.17,31.49
DWARKESH.NS,-44.44,-3.7,17.78
DYCL.NS,89.47,7.45,29.94
DYNAMATECH.NS,41.78,3.48,22.4
DYNPRO.NS,37.56,3.13,23.19
E2E.NS,200.21,16.68,39.92
EASEMYTRIP.NS,-23.31,-1.94,19.59
ECLERX.NS,31.73,2.64,17.41
ECOSMOBLTY.NS,-41.21,-13.74,31.59
EDELWEISS.NS,63.36,5.28,31.86
EDUCOMP.NS,-29.19,-2.43,21.91
EICHERMOT.NS,11.34,0.94,11.65
EIDPARRY.NS,51.05,4.25,17.86
EIEL.NS,53.55,53.55,88.18
EIFFL.NS,21.59,1.8,18.18
EIHAHOTELS.NS,63.49,5.29,24.58
EIHOTEL.NS,48.4,4.03,23.14
EIMCOELECO.NS,32.52,2.71,31.82
EKC.NS,49.97,4.16,27.09
ELDEHSG.NS,32.24,2.69,23.01
ELECON.NS,22.31,1.86,26.07
ELECTCAST.NS,32.19,2.68,31.42
ELECTHERM.NS,184.97,15.41,33.84
ELGIEQUIP.NS,5.42,0.45,20.85
ELGIRUBCO.NS,74.75,6.23,36.02
ELIN.NS,34.47,2.87,24.45
EMAMILTD.NS,7.07,0.59,19.58
EMAMIPAP.NS,-8.42,-0.7,18.44
EMAMIREAL.NS,10.48,0.87,27.54
EMBDL.NS,-16.22,-2.7,24.51
EMCURE.NS,4.64,0.93,14.92
EMIL.NS,-23.06,-1.92,23.05
EMKAY.NS,78.3,6.53,29.63
EMMBI.NS,37.67,3.14,25.71
EMSLIMITED.NS,75.6,6.3,29.73
EMUDHRA.NS,74.81,6.24,23.66
ENDURANCE.NS,9.92,0.83,17.72
ENERGYDEV.NS,7.59,0.63,27.51
ENGINERSIN.NS,5.53,0.46,29.48
ENIL.NS,2.26,0.19,28.75
ENTERO.NS,30.21,3.02,17.43
EPACK.NS,86.1,7.83,33.62
EPIGRAL.NS,73.37,6.11,25.11
EPL.NS,23.0,1.92,14.1
EQUIPPP.NS,-1.63,-0.14,26.09
EQUITASBNK.NS,-57.13,-4.76,14.93
ERIS.NS,41.54,3.46,17.59
EROSMEDIA.NS,-46.95,-3.91,26.22
ESABINDIA.NS,-1.58,-0.13,13.84
ESAFSFB.NS,-59.13,-4.93,16.34
ESCORTS.NS,8.14,0.68,17.15
ESSARSHPNG.NS,26.78,2.23,41.28
ESSENTIA.NS,49.99,4.17,38.17
ESTER.NS,63.33,5.28,28.22
ETHOSLTD.NS,34.72,2.89,21.92
EUREKAFORB.NS,0.25,0.08,19.35
EUROTEXIND.NS,60.61,5.05,41.19
EVEREADY.NS,14.01,1.17,17.34
EVERESTIND.NS,-53.8,-4.48,22.2
EXCEL.NS,149.11,12.43,38.91
EXCELINDUS.NS,36.18,3.01,22.86
EXICOM.NS,33.49,3.72,37.12
EXIDEIND.NS,32.18,2.68,19.99
EXPLEOSOL.NS,8.83,0.74,13.83
EXXARO.NS,-25.86,-2.16,23.59
FACT.NS,24.01,2.0,27.06
FAIRCHEMOR.NS,12.73,1.06,25.84
FAZE3Q.NS,5.11,0.42,24.05
FCL.NS,-9.89,-0.82,21.4
