Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
CHOLAHLDNG.NS,40.14,3.35,21.78
CIEINDIA.NS,-7.54,-0.63,14.36
CIGNITITEC.NS,54.16,4.51,13.21
CINELINE.NS,-8.68,-0.72,26.99
CINEVISTA.NS,5.72,0.48,24.16
CIPLA.NS,10.95,0.91,11.59
CLEAN.NS,-11.97,-1.0,14.61
CLEDUCATE.NS,10.31,0.86,27.34
CLSEL.NS,53.52,4.46,22.94
CMICABLES.NS,-28.9,-2.41,18.99
CMSINFO.NS,17.63,1.47,17.16
COALINDIA.NS,-5.87,-0.49,15.13
COASTCORP.NS,-9.48,-0.79,23.84
COCHINSHIP.NS,90.16,7.51,38.53
COFFEEDAY.NS,-90.81,-7.57,28.44
COFORGE.NS,41.39,3.45,16.7
COLPAL.NS,12.01,1.0,13.1
COMPINFO.NS,-76.7,-6.39,34.34
COMPUSOFT.NS,-4.64,-0.39,30.53
COMSYN.NS,-19.51,-1.77,27.9
CONCOR.NS,-14.76,-1.23,16.84
CONCORDBIO.NS,33.93,2.83,21.53
CONFIPET.NS,-21.51,-1.79,23.28
CONSOFINVT.NS,-44.48,-3.71,19.77
CONTROLPR.NS,-34.74,-2.9,15.64
CORALFINAC.NS,-22.76,-1.9,30.99
CORDSCABLE.NS,52.3,4.36,30.86
COROMANDEL.NS,39.23,3.27,14.41
COSMOFIRST.NS,50.21,4.18,23.72
COUNCODOS.NS,25.34,2.11,29.39
CRAFTSMAN.NS,-3.55,-0.3,22.02
CREATIVE.NS,24.13,2.01,24.16
CREATIVEYE.NS,69.79,5.82,37.38
CREDITACC.NS,-69.86,-5.82,18.15
CREST.NS,51.15,4.26,30.72
CRISIL.NS,23.54,1.96,15.82
CROMPTON.NS,19.68,1.64,16.09
CROWN.NS,57.31,4.77,26.32
CSBBANK.NS,-30.28,-2.52,14.35
CSLFINANCE.NS,-40.28,-3.36,21.62
CTE.NS,59.35,4.94,34.85
CUB.NS,11.92,0.99,14.65
CUBEXTUB.NS,44.14,3.68,28.66
CUMMINSIND.NS,50.86,4.24,18.49
CUPID.NS,38.86,3.24,30.94
CYBERMEDIA.NS,0.45,0.04,32.86
CYBERTECH.NS,12.35,1.03,31.07
CYIENT.NS,-20.51,-1.71,16.65
CYIENTDLM.NS,-1.47,-0.12,19.27
DABUR.NS,-13.48,-1.12,10.78
DALBHARAT.NS,-30.14,-2.51,13.29
DALMIASUG.NS,-10.7,-0.89,22.5
DAMODARIND.NS,-20.4,-1.7,22.33
DANGEE.NS,-55.97,-4.66,25.28
DATAMATICS.NS,-14.94,-1.25,22.04
DATAPATTNS.NS,23.05,1.92,26.63
DAVANGERE.NS,-54.69,-4.97,31.4
DBCORP.NS,8.89,0.74,23.24
DBEIL.NS,15.72,7.86,25.02
DBL.NS,14.39,1.2,23.27
DBOL.NS,-24.38,-2.03,21.07
DBREALTY.NS,1.04,0.09,26.64
DBSTOCKBRO.NS,23.72,1.98,30.85
DCAL.NS,50.37,4.2,33.43
DCBBANK.NS,-13.5,-1.12,15.35
DCI.NS,64.25,5.36,32.42
DCM.NS,38.19,3.18,23.68
DCMFINSERV.NS,107.34,8.94,41.97
DCMNVL.NS,18.12,1.51,22.43
DCMSHRIRAM.NS,4.26,0.35,18.21
DCMSRIND.NS,15.11,1.26,20.91
DCW.NS,51.56,4.3,27.97
DCXINDIA.NS,-10.64,-0.89,23.75
DECCANCE.NS,9.1,0.76,16.23
DEEDEV.NS,-2.67,-0.44,22.72
DEEPAKFERT.NS,58.48,4.87,27.23
DEEPAKNTR.NS,1.49,0.12,16.12
DEEPENR.NS,0.0,0.0,4.78
DEEPINDS.NS,80.62,6.72,23.17
DELHIVERY.NS,-13.97,-1.16,16.2
DELPHIFX.NS,-27.88,-2.32,26.23
DELTACORP.NS,-29.12,-2.43,19.09
DELTAMAGNT.NS,-15.49,-1.29,27.44
DEN.NS,-33.77,-2.81,20.29
DENORA.NS,-19.7,-1.64,23.71
DEVIT.NS,-18.18,-1.51,28.55
DEVYANI.NS,-12.57,-1.05,17.3
DGCONTENT.NS,141.23,11.77,29.98
DHAMPURSUG.NS,-51.84,-4.32,17.49
DHANBANK.NS,45.82,3.82,27.52
DHANI.NS,83.9,6.99,32.16
DHANUKA.NS,38.89,3.24,21.92
DHARMAJ.NS,10.5,0.88,25.22
DHRUV.NS,95.84,7.99,34.17
DHUNINV.NS,62.54,5.21,31.15
DIACABS.NS,257.46,21.45,37.06
DIAMINESQ.NS,-7.24,-0.6,20.47
DIAMONDYD.NS,4.01,0.33,22.99
DICIND.NS,35.0,2.91,20.55
DIFFNKG.NS,-6.35,-3.18,31.9
DIGIDRIVE.NS,-27.37,-2.49,28.8
DIGISPICE.NS,22.93,1.91,36.18
DIGJAMLMTD.NS,-5.8,-0.48,16.46
DIL.NS,-110.4,-9.2,33.02
DISHTV.NS,-52.87,-4.4,24.96
DIVGIITTS.NS,-43.23,-3.6,17.84
DIVISLAB.NS,38.53,3.21,13.14
DIXON.NS,97.15,8.09,21.25
DJML.NS,147.93,12.33,27.83
DLF.NS,8.33,0.69,15.98
DLINKINDIA.NS,56.16,4.68,26.52
DMART.NS,-18.04,-1.5,15.16
DMCC.NS,20.87,1.74,23.61
DNAMEDIA.NS,7.93,0.66,29.67
DODLA.NS,37.65,3.14,20.98
DOLATALGO.NS,89.53,7.46,34.99
DOLLAR.NS,6.12,0.51,15.67
DOLPHIN.NS,183.9,15.33,39.31
DOMS.NS,75.04,6.25,20.75
DONEAR.NS,53.01,4.42,25.35
DPABHUSHAN.NS,92.38,7.7,26.45
DPSCLTD.NS,-6.5,-0.54,27.79
DPWIRES.NS,-51.73,-4.31,19.36
DRCSYSTEMS.NS,68.1,5.68,31.75
DREAMFOLKS.NS,-36.4,-3.03,13.71
DREDGECORP.NS,40.87,3.4,32.39
DRREDDY.NS,10.83,0.9,10.43
DSSL.NS,76.62,6.39,30.76
DTIL.NS,21.82,1.82,22.36
DUCON.NS,-10.03,-0.84,31.06
DVL.NS,26.59,2.22,31.49
DWARKESH.NS,-43.99,-3.67,17.78
DYCL.NS,90.7,7.56,29.94
DYNAMATECH.NS,42.23,3.52,22.4
DYNPRO.NS,39.28,3.27,23.19
E2E.NS,200.31,16.69,39.92
EASEMYTRIP.NS,-23.31,-1.94,19.59
ECLERX.NS,33.21,2.77,17.41
ECOSMOBLTY.NS,-41.42,-13.81,31.59
EDELWEISS.NS,63.36,5.28,31.86
EDUCOMP.NS,-29.19,-2.43,21.91
EICHERMOT.NS,11.46,0.95,11.65
EIDPARRY.NS,50.14,4.18,17.86
EIEL.NS,53.59,53.59,88.18
EIFFL.NS,23.67,1.97,18.18
EIHAHOTELS.NS,63.05,5.25,24.58
EIHOTEL.NS,48.73,4.06,23.14
EIMCOELECO.NS,32.71,2.72,31.82
EKC.NS,49.63,4.14,27.09
ELDEHSG.NS,31.97,2.66,23.01
ELECON.NS,22.44,1.87,26.07
ELECTCAST.NS,33.03,2.75,31.42
ELECTHERM.NS,184.97,15.41,33.84
ELGIEQUIP.NS,5.59,0.47,20.85
ELGIRUBCO.NS,76.52,6.38,36.02
ELIN.NS,35.0,2.92,24.45
EMAMILTD.NS,7.39,0.62,19.58
EMAMIPAP.NS,-8.1,-0.68,18.44
EMAMIREAL.NS,10.48,0.87,27.54
EMBDL.NS,-17.21,-2.87,24.51
EMCURE.NS,3.55,0.71,14.92
EMIL.NS,-24.73,-2.06,23.05
EMKAY.NS,78.3,6.53,29.63
EMMBI.NS,37.06,3.09,25.71
EMSLIMITED.NS,76.62,6.39,29.73
EMUDHRA.NS,75.49,6.29,23.66
ENDURANCE.NS,9.37,0.78,17.72
ENERGYDEV.NS,7.59,0.63,27.51
ENGINERSIN.NS,5.88,0.49,29.48
ENIL.NS,2.61,0.22,28.75
ENTERO.NS,29.33,2.93,17.43
EPACK.NS,86.1,7.83,33.62
EPIGRAL.NS,73.12,6.09,25.11
EPL.NS,23.49,1.96,14.1
EQUIPPP.NS,-3.41,-0.28,26.09
EQUITASBNK.NS,-57.34,-4.78,14.93
ERIS.NS,41.03,3.42,17.59
EROSMEDIA.NS,-47.14,-3.93,26.22
ESABINDIA.NS,-1.36,-0.11,13.84
ESAFSFB.NS,-59.2,-4.93,16.34
ESCORTS.NS,8.37,0.7,17.15
ESSARSHPNG.NS,26.78,2.23,41.28
ESSENTIA.NS,51.64,4.3,38.17
ESTER.NS,64.2,5.35,28.22
ETHOSLTD.NS,35.69,2.97,21.92
EUREKAFORB.NS,0.28,0.09,19.35
EUROTEXIND.NS,60.61,5.05,41.19
EVEREADY.NS,14.27,1.19,17.34
EVERESTIND.NS,-53.58,-4.46,22.2
EXCEL.NS,149.11,12.43,38.91
EXCELINDUS.NS,36.23,3.02,22.86
EXICOM.NS,33.82,3.76,37.12
EXIDEIND.NS,30.87,2.57,19.99
EXPLEOSOL.NS,9.44,0.79,13.83
EXXARO.NS,-24.7,-2.06,23.59
FACT.NS,24.01,2.0,27.06
FAIRCHEMOR.NS,10.07,0.84,25.84
FAZE3Q.NS,5.68,0.47,24.05
FCL.NS,-10.06,-0.84,21.4
FCONSUMER.NS,-4.71,-0.39,28.38
FCSSOFT.NS,-23.99,-2.0,25.44
FDC.NS,18.32,1.53,15.39
