Date,Close,High,Low,Open,Volume,Month_Change,Month_Volatile,Yearly_Change,Symbol
,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,,,,
2024-07-01,741.3,791.08,539.69,578.6,3828583,28.12,46.58,54.35,ARROWGREEN.NS
2024-08-01,835.67,1024.52,717.56,744.94,7983023,12.18,42.78,66.53,ARROWGREEN.NS
2024-09-01,817.42,925.76,800.01,842.46,1157644,-2.97,15.72,63.56,ARROWGREEN.NS
2024-10-01,814.8,868.0,722.35,821.0,1247033,-0.76,20.16,62.8,ARROWGREEN.NS
2024-11-01,838.0,1099.0,811.1,840.0,2169684,-0.24,35.5,62.56,ARROWGREEN.NS
2024-12-01,827.7,913.95,820.65,838.1,756191,-1.24,11.37,61.32,ARROWGREEN.NS
2024-01-01,6.65,8.35,6.25,8.35,26056187,-20.36,33.6,-20.36,ARSHIYA.NS
2024-02-01,9.4,9.75,6.75,6.75,37541664,39.26,44.44,18.9,ARSHIYA.NS
2024-03-01,6.2,9.25,6.2,9.25,11795936,-32.97,49.19,-14.07,ARSHIYA.NS
2024-04-01,6.75,7.9,5.9,5.9,10557776,14.41,33.9,0.33,ARSHIYA.NS
2024-05-01,5.75,6.75,5.5,6.75,10976249,-14.81,22.73,-14.48,ARSHIYA.NS
2024-06-01,5.39,6.2,5.1,6.0,15218295,-10.17,21.57,-24.65,ARSHIYA.NS
2024-07-01,4.74,5.7,4.38,5.58,14182593,-15.05,30.14,-39.7,ARSHIYA.NS
2024-08-01,5.38,5.62,4.13,4.7,7066039,14.47,36.08,-25.23,ARSHIYA.NS
2024-09-01,4.15,5.11,4.15,5.11,207362,-18.79,23.13,-44.02,ARSHIYA.NS
2024-10-01,3.27,4.15,3.06,4.07,10907189,-19.66,35.62,-63.68,ARSHIYA.NS
2024-11-01,3.96,4.64,3.12,3.41,6650949,16.13,48.72,-47.55,ARSHIYA.NS
2024-12-01,3.53,4.29,3.53,4.14,9639602,-14.73,21.53,-62.28,ARSHIYA.NS
2024-01-01,22.3,25.95,18.55,18.55,246497,20.22,39.89,20.22,ARSSINFRA.NS
2024-02-01,19.55,22.3,18.7,22.3,165584,-12.33,19.25,7.88,ARSSINFRA.NS
2024-03-01,17.8,24.8,17.4,20.5,361162,-13.17,42.53,-5.29,ARSSINFRA.NS
2024-04-01,22.1,23.85,17.5,18.65,345777,18.5,36.29,13.21,ARSSINFRA.NS
2024-05-01,26.6,26.75,19.2,22.1,467220,20.36,39.32,33.57,ARSSINFRA.NS
2024-06-01,21.67,25.3,21.67,25.3,24182,-14.35,16.75,19.23,ARSSINFRA.NS
